contract_id,event_date,event_type
36294,2021-03-28 16:24:30,Добавление в Обращались с номеров
36294,2021-03-28 16:27:41,Обращение в службу заботы о клиентах
36294,2021-03-28 16:29:56,Выключение IPTV-пакета
36294,2021-03-28 16:29:56,Включение IPTV-пакета
36294,2021-03-28 16:35:04,Обращение в службу заботы о клиентах
36294,2021-03-28 16:37:26,Обращение в службу заботы о клиентах
36294,2021-04-01 18:06:15,Обращение в службу заботы о клиентах
36294,2021-04-06 17:32:09,Отключение услуги Аренда ТВ-приставки
36294,2021-04-06 17:32:10,Отключение услуги Аренда ТВ-приставки
36294,2021-04-06 17:32:13,Оборудование
36294,2021-04-06 17:32:15,Оборудование
36294,2021-04-06 17:32:31,Обращение в службу заботы о клиентах
36294,2021-04-07 15:37:26,Изменение истории
36294,2021-04-07 15:37:55,Продление действия тарифа
34240,2021-04-05 16:03:58,Добавление в Обращались с номеров
34240,2021-04-05 16:11:35,Обращение в службу заботы о клиентах
34240,2021-04-05 16:39:01,Обращение в службу заботы о клиентах
34240,2021-04-06 15:37:46,Обращение в службу заботы о клиентах
34240,2021-04-07 17:37:54,Изменение истории
34240,2021-04-07 17:38:20,Продление действия тарифа
11647,2021-03-18 13:49:46,Обращение в службу заботы о клиентах
11647,2021-03-18 13:50:22,Предложение IPTV
40624,2021-04-03 19:09:26,Добавление в Обращались с номеров
40624,2021-04-08 10:59:48,Отключение услуги Аренда ТВ-приставки
40624,2021-04-08 10:59:53,Оборудование
36809,2021-03-29 16:25:16,Активация точки подключения на сутки
40979,2021-04-09 09:41:24,Смена тарифа
38731,2021-03-18 09:01:42,Обращение в службу заботы о клиентах
38731,2021-03-18 09:01:51,Предложение IPTV
13577,2021-03-12 18:06:25,Добавление в Обращались с номеров
13577,2021-03-19 11:36:12,Обращение в службу заботы о клиентах
13577,2021-03-19 12:18:51,Удаление из Обращались с номеров
41126,2021-03-23 19:21:08,Смена пароля
41126,2021-03-23 19:22:20,Предложение ТВ
41126,2021-03-23 19:22:45,Обращение в службу заботы о клиентах
47241,2021-04-05 13:03:49,Предложение ТВ
47241,2021-04-05 13:09:37,Внутреннее сообщение
48595,2021-03-19 19:53:49,Обращение в службу заботы о клиентах
48595,2021-04-24 15:59:28,Операция с mac-адресом
48875,2021-04-06 17:08:22,Закрепление сообщения
48875,2021-04-06 17:08:27,Закрепление сообщения
